# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/home/gsdeol/dev/mouse-analysis/data/reference/mm9/genes.gtf" "-o" "/home/gsdeol/dev/mouse-analysis/results/counts/featureCounts_raw.txt" "-F" "GTF" "-t" "exon" "-g" "gene_id" "-s" "2" "-T" "8" "/home/gsdeol/dev/mouse-analysis/results/align/H23-142_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-143_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-144_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-145_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-146_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-147_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-148_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-149_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-150_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-151_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-152_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-153_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/gsdeol/dev/mouse-analysis/results/align/H23-142_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-143_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-144_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-145_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-146_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-147_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-148_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-149_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-150_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-151_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-152_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-153_Aligned.sortedByCoord.out.bam
ENSMUSG00000088474	5	104031606	104031898	+	293	0	0	0	0	0	0	1	0	0	0	1	0
ENSMUSG00000029321	5;5;5;5;5;5	104034730;104038000;104041389;104046650;104047375;104057875	104035766;104038157;104041561;104046738;104047493;104058422	-;-;-;-;-;-	2124	585	610	736	631	708	634	441	538	660	530	631	695
ENSMUSG00000084126	5	104053490	104054065	+	576	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029320	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	104077058;104077448;104077606;104077612;104077717;104077790;104077790;104078441;104078441;104078441;104078441;104078441;104078441;104078441;104083941;104083941;104083941;104083941;104083941;104083941;104083941;104084464;104084464;104084605;104084605;104084623;104084623;104084789	104077973;104077973;104077973;104077973;104077973;104077973;104077973;104078591;104078595;104078591;104078595;104078591;104078595;104078595;104084075;104084075;104084075;104084075;104084075;104084075;104084075;104084742;104084751;104084743;104084742;104084742;104084767;104085029	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1751	4	8	6	9	3	7	4	5	6	5	5	9
ENSMUSG00000088121	5	104087256	104087426	+	171	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029313	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	104121393;104144369;104183181;104183348;104183583;104183592;104212143;104212143;104212143;104212143;104212143;104212675;104212675;104212675;104212675;104212675;104213378;104240082;104240082;104240082;104240082;104240082;104240082;104244001;104244001;104244001;104244001;104244001;104245232;104245232;104245232;104245232;104245232;104247954;104247954;104247954;104247954;104254999;104254999;104254999;104254999;104255162;104255162;104255162;104255162;104257367;104257367;104257367;104257367;104262489;104262489;104262489;104262489;104262709;104262809;104262828;104270075;104270075;104270075;104270076;104270132;104271246;104271246;104271246;104271246;104272007;104272007;104272007;104272227;104272227;104272227;104275253;104275253;104275253;104276055;104276055;104276055;104276733;104276733;104276733;104278369;104278369;104278369;104279721;104279721;104279721	104121622;104144424;104183364;104183364;104183764;104183764;104212263;104212263;104212263;104212263;104212263;104213532;104213532;104213532;104213532;104213532;104213532;104240614;104240126;104240126;104240126;104240126;104240126;104244087;104244087;104244087;104244087;104244087;104245268;104245268;104245268;104245268;104245447;104248005;104248005;104248005;104248005;104255053;104255053;104255053;104255053;104255199;104255199;104255199;104255199;104257529;104257529;104257529;104257529;104263478;104263478;104262707;104263478;104262807;104262826;104263478;104270172;104270172;104270172;104270129;104270172;104271486;104271272;104271486;104271486;104272107;104272107;104272107;104272287;104272287;104272287;104275386;104275386;104275386;104276126;104276126;104276126;104276870;104276870;104276870;104278595;104278595;104278595;104284341;104280142;104284341	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9458	6137	5775	6302	5678	7093	4905	5490	5527	6250	5005	5809	5246
ENSMUSG00000029312	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	104290992;104290992;104291069;104291097;104291099;104293221;104293221;104293221;104293221;104293221;104296512;104296512;104296512;104296512;104296512;104296864;104296864;104296864;104296864;104296864;104297008;104299329;104299548;104299548;104299548;104299548;104299548;104301050;104301050;104301050;104301050;104301050;104301050;104303222;104303222;104303222;104303222;104303222;104304760;104304760;104304760;104314926;104314926;104314926;104314926;104314926;104340135	104292210;104292210;104292210;104292210;104292210;104293422;104293422;104293422;104293422;104293422;104296671;104296671;104296671;104296671;104296671;104297032;104297006;104297032;104297032;104297032;104297032;104299659;104299659;104299659;104299659;104299659;104299659;104301193;104301193;104301193;104301193;104301193;104301193;104303388;104303408;104303408;104303408;104303408;104305308;104305308;104305080;104315309;104315309;104315311;104315309;104315309;104340278	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3491	170	134	184	171	133	196	147	184	150	135	177	225
ENSMUSG00000064629	5	104327898	104328004	+	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034528	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	104384459;104392480;104392480;104394794;104394794;104394794;104395990;104395990;104395990;104397717;104397717;104397717;104399781;104399781;104399781;104401586;104401586;104406125;104406125;104406125	104385305;104392882;104392882;104394910;104394910;104394910;104396127;104396127;104396127;104397823;104397823;104397823;104399912;104399912;104399912;104401693;104401693;104406429;104406345;104406383	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2157	0	1	0	0	2	0	0	0	0	1	1	0
ENSMUSG00000082527	5	104418389	104418610	+	222	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029311	5;5;5;5;5;5;5;5;5;5;5;5	104418781;104421837;104430751;104432191;104437598;104437598;104438814;104438814;104447193;104447193;104450549;104450549	104419613;104421953;104432328;104432328;104437704;104437704;104438945;104438945;104447300;104447300;104450857;104450938	-;-;-;-;-;-;-;-;-;-;-;-	3265	1762	1567	2105	2266	1618	1856	1743	1830	1593	1679	1887	2169
ENSMUSG00000029310	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	104475325;104475545;104475581;104475888;104475987;104476173;104476640;104479597;104479597;104479597;104479597;104479597;104479597;104483291;104483291;104483291;104483291;104483291;104483291;104484509;104484509;104484509;104484509;104484509;104484509;104487126;104487126;104487126;104487126;104487126;104488655;104488655;104490693;104493956	104475357;104475857;104475857;104476165;104476165;104476402;104476749;104479836;104479836;104479836;104479836;104479836;104479836;104483386;104483386;104483386;104483386;104483386;104483386;104484595;104484544;104484595;104484595;104484595;104484595;104487201;104487455;104487237;104487237;104487221;104488801;104488801;104490777;104494398	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2392	1019	1004	1012	1147	973	917	848	899	956	919	1034	1075
ENSMUSG00000093690	5	104477022	104477082	+	61	1	0	0	2	1	0	0	0	0	0	0	0
ENSMUSG00000091034	5;5;5;5;5;5;5;5;5;5	104499083;104500238;104500992;104501087;104502557;104503248;104503724;104503880;104505536;104506578	104499235;104500273;104501003;104501116;104502583;104503286;104503792;104503912;104505606;104506627	-;-;-;-;-;-;-;-;-;-	520	1	0	0	0	1	0	2	0	2	0	2	0
ENSMUSG00000029309	5;5;5;5;5;5;5;5;5;5;5	104508130;104514029;104514726;104516041;104517416;104518619;104519411;104521397;104523658;104526728;104542396	104508596;104514177;104514874;104516177;104517536;104518737;104519480;104522392;104523786;104526792;104543107	-;-;-;-;-;-;-;-;-;-;-	3114	8987	8856	10336	13671	11680	13537	10721	15161	10092	11473	13493	13964
ENSMUSG00000087488	5;5;5;5;5;5;5	104538236;104539029;104542907;104542948;104543858;104544074;104546401	104538367;104539665;104543279;104545042;104543995;104544238;104548706	+;+;+;+;+;+;+	5211	14	21	16	16	13	24	19	24	28	22	25	19
ENSMUSG00000053268	5;5;5;5;5;5;5;5;5;5;5	104599731;104599731;104603027;104603027;104603915;104603915;104604156;104604156;104605878;104605878;104606344	104599787;104599787;104603102;104603102;104604001;104604001;104605097;104605097;104609146;104606319;104607629	+;+;+;+;+;+;+;+;+;+;+	4431	1	3	3	4	2	2	1	5	3	0	0	2
ENSMUSG00000029307	5;5;5;5;5;5	104631632;104636095;104636609;104638917;104639121;104640659	104631731;104636169;104636656;104638949;104639165;104643121	+;+;+;+;+;+	2764	1	0	1	0	0	0	1	0	0	0	0	0
ENSMUSG00000077133	5	104726207	104726316	+	110	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029306	5;5;5;5;5;5;5	104728190;104731143;104731301;104731442;104735000;104738295;104739041	104728373;104731209;104731351;104731519;104735065;104738468;104740488	+;+;+;+;+;+;+	2068	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000053863	5;5;5	104754348;104756084;104766093	104754423;104756151;104767630	+;+;+	1682	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029304	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	104864137;104864137;104864140;104864158;104864161;104864177;104865211;104865285;104865291;104865291;104865394;104865394;104865394;104865560;104865560;104865560;104865560;104865560;104865560;104865560;104865920;104865920;104865920;104866674;104866674;104866674;104866674;104866674;104866674;104866674;104867245;104867245;104867245;104867245;104867245;104867245;104868284;104868284;104868284;104868284;104868284;104868284;104869248;104869248;104869248;104869248	104864215;104864215;104864267;104864215;104864215;104864267;104865461;104865461;104865461;104865461;104865461;104865461;104865461;104865595;104865595;104865595;104865595;104865595;104865595;104865595;104865922;104865922;104865922;104866754;104866754;104866729;104866754;104866754;104866754;104866754;104867286;104867286;104867286;104867286;104867286;104867286;104868565;104868523;104868561;104868565;104868565;104868565;104870062;104870066;104870067;104870069	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1648	1392	1104	1721	1259	1036	1958	1301	1215	1044	1470	1496	1419
ENSMUSG00000058736	5	104884157	104885486	-	1330	17	24	35	14	22	25	20	17	25	20	16	20
ENSMUSG00000034462	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	104888469;104888561;104888589;104895902;104895902;104895902;104906062;104906062;104906062;104907810;104907810;104907810;104909169;104909169;104909169;104912044;104912044;104912044;104915666;104915666;104918252;104918252;104918252;104919017;104919663;104919663;104921790;104923912;104923912;104927460;104927460;104927460;104927777;104927777;104928189;104928189;104931311;104931311;104932471;104932471	104889244;104889244;104889244;104896015;104896015;104896015;104906195;104906195;104906195;104908060;104908060;104908060;104909393;104909393;104909393;104912272;104912272;104912272;104915833;104915833;104918433;104918433;104918433;104919339;104919783;104919783;104924010;104924010;104924010;104930368;104927581;104927581;104927894;104927894;104928352;104928352;104931458;104931458;104932707;104934838	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10169	6125	5515	6558	6121	5858	5215	4603	5508	6247	5504	5657	5841
ENSMUSG00000079065	5;5	104937371;104946442	104937590;104951402	+;+	5181	349	299	294	284	369	303	256	273	305	208	321	291
ENSMUSG00000090739	5;5;5;5;5;5;5	104954754;104967845;104969590;104970185;104978605;104979905;104979905	104954991;104967992;104970281;104970281;104978709;104981093;104983230	+;+;+;+;+;+;+	4509	380	402	475	440	441	406	358	411	411	400	446	466
ENSMUSG00000048334	5;5	105204930;105205813	105205522;105205843	+;+	624	3	2	0	1	2	1	0	1	0	1	3	1
ENSMUSG00000072774	5;5;5;5;5;5;5;5;5;5	105242366;105243362;105243991;105244079;105245718;105245718;105246016;105246016;105246327;105246327	105242824;105244454;105244074;105244454;105245778;105245778;105246142;105246142;105246371;105246371	-;-;-;-;-;-;-;-;-;-	1785	109	100	83	73	94	60	67	55	60	75	88	67
ENSMUSG00000090970	5	105314891	105315145	-	255	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029299	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	105364076;105364698;105367202;105367202;105368161;105368161;105377341;105377341;105380536;105380536;105382103;105390196;105390196;105392449;105392449;105395747;105395747;105397166;105397166;105398414;105398414;105402998;105402998;105403667;105403667;105404382;105404382;105406632;105406632;105411568	105365122;105365637;105367287;105367287;105368250;105368250;105377495;105377495;105380660;105380660;105382192;105390278;105390278;105392696;105392696;105395848;105395848;105397317;105397317;105398550;105398550;105403150;105403150;105403781;105403781;105404441;105404441;105406853;105406853;105411737	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3550	504	467	321	437	400	326	502	416	373	443	296	376
ENSMUSG00000064523	5	105365670	105365776	+	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044129	5	105418066	105418350	-	285	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034438	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	105443172;105443176;105443943;105443997;105444004;105444046;105445046;105445046;105445046;105445565;105445565;105445565;105446698;105446698;105446698;105447581;105447581;105447581;105450940;105459848;105460229;105470872;105479883;105482520	105444141;105443995;105444041;105444002;105444141;105444141;105445239;105445239;105445239;105445667;105445667;105445667;105446904;105446904;105446904;105447861;105447782;105447861;105451083;105460044;105460338;105470999;105480090;105482580	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2603	135	183	85	130	332	76	129	125	105	131	91	82
ENSMUSG00000029298	5;5;5;5;5;5;5;5;5;5;5	105507413;105510149;105510670;105511723;105512592;105513939;105523090;105523469;105532788;105534683;105539224	105509283;105510342;105510772;105511929;105512872;105514184;105523286;105523578;105532915;105534890;105539311	-;-;-;-;-;-;-;-;-;-;-	3633	2256	3183	2579	2639	4958	2063	2624	2319	2582	2571	2221	1648
ENSMUSG00000079363	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	105544786;105544786;105548397;105548397;105548918;105548918;105549928;105549928;105550810;105550810;105551894;105551894;105554154;105554154;105554536;105554536;105564086;105564086;105564127;105565829;105565858;105568499;105568499	105547518;105547518;105548590;105548590;105549020;105549020;105550134;105550134;105551090;105551090;105552139;105552139;105554350;105554350;105554645;105554645;105564124;105564209;105564209;105566064;105566064;105568605;105568605	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4538	1945	3616	1344	1739	7192	1301	1797	1745	1846	2098	1425	947
ENSMUSG00000054588	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	105643926;105644718;105647406;105647406;105647928;105647928;105648972;105648972;105649845;105649845;105650919;105650919;105653293;105653293;105653673;105653673;105662990;105662990;105664970;105664970;105668491	105646509;105646509;105647599;105647599;105648030;105648030;105649178;105649178;105650125;105650125;105651164;105651164;105653489;105653489;105653782;105653782;105663117;105663117;105665177;105665153;105668552	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4320	42	108	14	11	278	23	27	33	43	48	17	8
ENSMUSG00000079362	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	105699723;105699723;105703206;105703206;105703728;105703728;105704772;105704772;105705646;105705646;105706716;105706716;105709094;105709094;105709474;105709474;105717946;105719856;105719856;105722645;105722645	105702306;105702306;105703399;105703399;105703830;105703830;105704978;105704978;105705926;105705926;105706961;105706961;105709290;105709290;105709583;105709583;105718073;105720045;105720045;105722703;105722718	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4314	925	1565	753	647	2820	477	790	662	981	841	623	379
ENSMUSG00000092021	5;5;5;5;5;5;5	105755499;105756354;105757396;105759971;105760353;105771018;105772765	105755681;105756634;105757641;105760167;105760462;105771145;105772948	-;-;-;-;-;-;-	1329	8	13	9	6	24	3	9	5	10	21	15	4
ENSMUSG00000086871	5;5;5	105830264;105830836;105834413	105830646;105831124;105835989	+;+;+	2249	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070639	5;5;5;5;5;5;5;5	105844794;105897816;105905205;105908786;105908809;105909351;105914822;105914822	105844931;105897870;105905303;105910947;105909314;105910947;105915208;105915208	+;+;+;+;+;+;+;+	2841	1300	1227	1365	1466	1286	1012	1088	1069	1251	1130	1254	1136
ENSMUSG00000054720	5;5;5;5;5;5;5;5;5;5;5;5;5	105948407;105948435;105948492;105951649;105973219;105973219;105973219;105987877;106008487;106008487;106008487;106035518;106035518	105948649;105948649;105948649;105951770;105973659;105973289;105973289;105988062;106008628;106008628;106008588;106035891;106042037	+;+;+;+;+;+;+;+;+;+;+;+;+	7654	3311	3446	3843	3868	4355	3320	3529	2913	3802	3465	3804	2943
ENSMUSG00000085771	5;5	106009459;106010753	106010069;106010791	+;+	650	4	0	4	1	8	1	3	4	1	0	4	4
ENSMUSG00000046079	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	106128988;106129808;106129829;106129885;106157742;106160408;106160803;106161009;106161082;106161249;106161249;106161249;106161249;106161249;106161249;106161249;106240743;106240743;106240743;106240743;106240743;106240743;106242346;106253530;106255725;106258270;106258558;106259386;106259386;106261206;106261206	106129273;106130104;106130104;106130104;106163257;106160514;106161030;106161030;106161393;106161393;106161393;106161393;106161393;106163259;106161393;106161393;106240867;106240762;106240856;106241023;106244229;106244234;106242658;106253796;106257883;106258411;106258622;106259482;106259482;106261454;106261455	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12573	2309	2099	2269	2153	2305	1657	2145	1687	2226	1885	2002	1536
ENSMUSG00000092911	5	106203169	106203241	+	73	1	0	0	0	0	0	0	0	3	0	1	1
ENSMUSG00000067058	5	106226340	106226732	-	393	1	1	1	0	1	0	1	0	1	1	2	1
ENSMUSG00000084878	5;5	106243792;106247640	106244009;106248007	-;-	586	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000045750	5;5;5;5;5;5	106253530;106255725;106258270;106258558;106259386;106261206	106253796;106257883;106258411;106258622;106259482;106261453	+;+;+;+;+;+	2978	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072451	5	106291585	106292764	-	1180	1	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000029290	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	106305584;106305587;106305587;106305587;106305587;106305595;106305960;106307407;106307768;106307768;106307768;106307768;106307768;106307768;106307768;106307789;106315206;106315206;106315206;106315206;106315206;106315206;106315206;106315206;106315336;106315336;106315336;106315336;106317453;106317453;106317720;106319963;106320137;106320137;106320137;106320137;106320137;106320137;106321280;106323030;106325511;106325511;106325511;106325511;106325511;106325511;106333933;106334934;106334934;106334934;106334934;106334934;106336058;106336058;106336058;106336058;106336058;106336058;106339190;106339190;106339190;106339190;106340432;106340432;106340432;106340432;106343687;106343687;106343687;106343687	106305717;106305717;106305717;106305717;106305717;106305717;106306250;106307539;106307812;106307812;106307812;106307812;106307812;106307812;106307812;106307812;106315213;106315295;106317050;106315295;106315241;106315241;106315241;106315241;106317858;106315447;106315447;106315447;106317858;106317858;106317858;106320335;106320335;106320335;106320335;106320339;106320335;106320335;106321288;106323045;106325622;106325524;106325622;106325622;106325622;106325622;106335081;106335081;106335081;106335081;106335081;106335081;106336593;106337006;106336157;106336157;106336157;106336157;106339320;106339320;106339320;106339320;106340527;106340527;106340527;106340527;106344196;106344837;106344837;106343799	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7246	893	817	873	837	839	806	779	779	816	787	879	880
ENSMUSG00000065942	5	106501346	106501452	-	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034384	5;5;5;5;5;5;5	106881533;106881547;106884469;106884469;106886245;106886245;106887419	106882688;106882688;106884694;106884694;106886446;106887459;106887469	-;-;-;-;-;-;-	2607	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090531	5;5	106894817;106899999	106897051;106900026	-;-	2263	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049606	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	106929913;106940303;106986757;106986758;107003607;107003607;107045758;107045760;107045761;107045763;107046092;107046989;107048559;107048559;107048559;107048559;107048559;107048559;107048559;107053104;107063850;107063850;107063850;107064629;107064629;107064629;107065436;107065436;107065826;107066837;107067088;107067256;107067303;107067446;107095804;107095804;107095804;107095804;107095804;107095804;107095804;107095804;107096535;107108699;107110923;107110923;107118839;107119610;107119623;107119690;107119690;107124074;107124156;107124379;107124662;107124662;107124662;107124817;107124817;107124817;107125253;107125253;107125253;107125551;107125551;107125551;107125551;107125551;107125551;107125551;107125551;107125551;107126241	106930314;106940435;106987075;106987075;107003735;107003734;107047447;107047447;107047447;107047447;107047447;107047447;107048661;107048661;107048661;107048661;107048661;107048661;107048661;107053409;107064455;107064455;107064455;107065342;107065342;107067654;107067654;107067654;107067654;107067654;107067654;107067654;107067654;107067654;107095864;107095864;107095864;107095864;107095864;107095864;107095864;107095864;107096636;107108762;107111032;107111032;107119896;107119896;107119896;107119896;107119896;107124718;107124718;107124718;107124718;107124718;107124718;107125031;107125185;107124994;107125563;107125565;107125583;107125583;107125669;107125669;107125824;107125616;107125845;107125849;107125849;107125849;107126306	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9786	1088	1068	1138	1139	1117	998	999	952	993	1036	1146	1113
ENSMUSG00000091096	5;5	107038117;107038205	107038169;107038220	+;+	69	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088602	5	107099018	107099140	+	123	0	0	0	0	0	0	0	0	0	0	0	0
